layer,regime,fold,n_train,n_test,accuracy,roc_auc,raw_score_parity_max
22,speaker,actor_10_statement_None,184,8,0.875,0.9375,1.0658141036401503e-14
22,speaker,actor_11_statement_None,184,8,0.625,0.4375,1.2656542480726785e-14
22,speaker,actor_12_statement_None,184,8,0.75,0.9375,1.1657341758564144e-14
22,speaker,actor_13_statement_None,184,8,0.75,1.0,1.0658141036401503e-14
22,speaker,actor_14_statement_None,184,8,0.375,0.375,1.9817480989559044e-14
22,speaker,actor_15_statement_None,184,8,0.625,0.5625,1.509903313490213e-14
22,speaker,actor_16_statement_None,184,8,0.75,0.6875,9.950373858202965e-15
22,speaker,actor_17_statement_None,184,8,0.625,0.6875,9.325873406851315e-15
22,speaker,actor_18_statement_None,184,8,0.625,0.5625,1.7763568394002505e-14
22,speaker,actor_19_statement_None,184,8,0.5,0.375,1.9539925233402755e-14
22,speaker,actor_20_statement_None,184,8,0.625,0.6875,2.042810365310288e-14
22,speaker,actor_21_statement_None,184,8,0.875,0.9375,1.3322676295501878e-14
22,speaker,actor_22_statement_None,184,8,0.625,0.8125,1.5987211554602254e-14
22,speaker,actor_23_statement_None,184,8,1.0,1.0,1.9539925233402755e-14
22,speaker,actor_24_statement_None,184,8,0.75,0.8125,9.325873406851315e-15
22,statement,actor_None_statement_01,96,96,0.5208333333333334,0.4852430555555556,2.398081733190338e-14
22,statement,actor_None_statement_02,96,96,0.4895833333333333,0.5846354166666666,3.197442310920451e-14
22,joint,actor_01_statement_01,92,4,0.5,0.25,1.4210854715202004e-14
22,joint,actor_01_statement_02,92,4,0.75,1.0,1.0602629885170245e-14
22,joint,actor_02_statement_01,92,4,0.25,0.25,9.325873406851315e-15
22,joint,actor_02_statement_02,92,4,0.5,1.0,3.552713678800501e-14
22,joint,actor_03_statement_01,92,4,0.5,0.75,8.881784197001252e-15
22,joint,actor_03_statement_02,92,4,0.5,1.0,1.7763568394002505e-14
22,joint,actor_04_statement_01,92,4,0.5,1.0,5.329070518200751e-15
22,joint,actor_04_statement_02,92,4,0.5,1.0,2.1316282072803006e-14
22,joint,actor_05_statement_01,92,4,0.5,0.25,1.5987211554602254e-14
22,joint,actor_05_statement_02,92,4,0.5,0.5,8.881784197001252e-15
22,joint,actor_06_statement_01,92,4,0.5,1.0,1.2434497875801753e-14
22,joint,actor_06_statement_02,92,4,0.5,0.75,1.0658141036401503e-14
22,joint,actor_07_statement_01,92,4,0.75,0.5,1.8207657603852567e-14
22,joint,actor_07_statement_02,92,4,1.0,1.0,1.2434497875801753e-14
22,joint,actor_08_statement_01,92,4,0.75,1.0,4.440892098500626e-15
22,joint,actor_08_statement_02,92,4,0.0,0.0,2.842170943040401e-14
22,joint,actor_09_statement_01,92,4,0.25,0.0,1.4210854715202004e-14
22,joint,actor_09_statement_02,92,4,0.25,0.5,1.7763568394002505e-14
22,joint,actor_10_statement_01,92,4,0.75,0.75,2.0247692411601292e-14
22,joint,actor_10_statement_02,92,4,0.5,0.5,1.865174681370263e-14
22,joint,actor_11_statement_01,92,4,0.5,0.25,1.4210854715202004e-14
22,joint,actor_11_statement_02,92,4,0.5,1.0,7.105427357601002e-15
22,joint,actor_12_statement_01,92,4,0.0,0.0,1.9095836023552692e-14
22,joint,actor_12_statement_02,92,4,0.5,1.0,1.9095836023552692e-14
22,joint,actor_13_statement_01,92,4,0.5,0.5,7.105427357601002e-15
22,joint,actor_13_statement_02,92,4,0.75,1.0,1.5987211554602254e-14
22,joint,actor_14_statement_01,92,4,1.0,1.0,9.992007221626409e-15
22,joint,actor_14_statement_02,92,4,0.5,0.5,1.4210854715202004e-14
22,joint,actor_15_statement_01,92,4,0.5,0.75,3.019806626980426e-14
22,joint,actor_15_statement_02,92,4,0.5,0.0,3.552713678800501e-14
22,joint,actor_16_statement_01,92,4,0.25,0.0,1.2434497875801753e-14
