position,layer,regime,metric,mean,ci_low,ci_high
audio,19,speaker,mean_within_fold_auc,0.96875,,
audio,19,statement,accuracy,0.5833333333333334,0.5520833333333334,0.6197916666666666
audio,19,statement,roc_auc,0.7483723958333334,0.7259114583333334,0.7717013888888888
audio,19,statement,mean_within_fold_auc,0.9537760416666666,,
audio,19,joint,accuracy,0.59375,0.5520833333333334,0.6354166666666666
audio,19,joint,roc_auc,0.7330729166666666,0.7039930555555556,0.7630208333333334
audio,19,joint,mean_within_fold_auc,0.9635416666666666,,
audio,20,speaker,accuracy,0.8385416666666666,0.7708333333333334,0.8958333333333334
audio,20,speaker,roc_auc,0.9175347222222222,0.8702229817708333,0.9612657335069444
audio,20,speaker,mean_within_fold_auc,0.953125,,
audio,20,statement,accuracy,0.5572916666666666,0.5260416666666666,0.59375
audio,20,statement,roc_auc,0.7266710069444444,0.7106119791666666,0.7417534722222222
audio,20,statement,mean_within_fold_auc,0.9487847222222222,,
audio,20,joint,accuracy,0.5520833333333334,0.5208333333333334,0.5885416666666666
audio,20,joint,roc_auc,0.7059461805555556,0.6818576388888888,0.7305772569444444
audio,20,joint,mean_within_fold_auc,0.9635416666666666,,
audio,21,speaker,accuracy,0.8333333333333334,0.7708333333333334,0.890625
audio,21,speaker,roc_auc,0.9100477430555556,0.8614339192708333,0.9557291666666666
audio,21,speaker,mean_within_fold_auc,0.9479166666666666,,
audio,21,statement,accuracy,0.5572916666666666,0.5260416666666666,0.59375
audio,21,statement,roc_auc,0.7249348958333334,0.7073567708333334,0.7407769097222222
audio,21,statement,mean_within_fold_auc,0.9444444444444444,,
audio,21,joint,accuracy,0.5572916666666666,0.5208333333333334,0.5989583333333334
audio,21,joint,roc_auc,0.7006293402777778,0.6740424262152778,0.7277560763888888
audio,21,joint,mean_within_fold_auc,0.9635416666666666,,
audio,22,speaker,accuracy,0.828125,0.7707031250000002,0.8854166666666666
audio,22,speaker,roc_auc,0.9075520833333334,0.8573133680555556,0.9546440972222222
audio,22,speaker,mean_within_fold_auc,0.9505208333333334,,
audio,22,statement,accuracy,0.5729166666666666,0.5364583333333334,0.609375
audio,22,statement,roc_auc,0.7249348958333334,0.7071370442708333,0.7411024305555556
audio,22,statement,mean_within_fold_auc,0.9424913194444444,,
audio,22,joint,accuracy,0.578125,0.5416666666666666,0.6145833333333334
audio,22,joint,roc_auc,0.7022569444444444,0.6742594401041667,0.73046875
audio,22,joint,mean_within_fold_auc,0.96875,,
audio,23,speaker,accuracy,0.8489583333333334,0.7916666666666666,0.9010416666666666
audio,23,speaker,roc_auc,0.9001736111111112,0.8524278428819445,0.9477023654513889
audio,23,speaker,mean_within_fold_auc,0.9609375,,
audio,23,statement,accuracy,0.828125,0.7760416666666666,0.875
audio,23,statement,roc_auc,0.9224175347222222,0.8828125,0.9580078125
audio,23,statement,mean_within_fold_auc,0.9299045138888888,,
audio,23,joint,accuracy,0.78125,0.71875,0.84375
audio,23,joint,roc_auc,0.8588324652777778,0.8029513888888888,0.9161241319444444
audio,23,joint,mean_within_fold_auc,0.9583333333333334,,
answer,0,speaker,accuracy,0.875,0.8229166666666666,0.921875
answer,0,speaker,roc_auc,0.9330512152777778,0.8866102430555556,0.9734157986111112
answer,0,speaker,mean_within_fold_auc,0.9661458333333334,,
