position,layer,statement,metric,condition,mean,ci_low,ci_high
answer,2,01,pooled_roc_auc,gap,-0.006076388888888951,-0.11979166666666674,0.09853515624999987
answer,2,01,accuracy,within,0.7291666666666666,0.6354166666666666,0.8229166666666666
answer,2,01,accuracy,cross,0.5104166666666666,0.5,0.53125
answer,2,01,accuracy,gap,0.21875,0.11458333333333337,0.32291666666666663
answer,2,02,mean_within_fold_auc,within,0.75,0.625,0.8645833333333334
answer,2,02,mean_within_fold_auc,cross,0.7395833333333334,0.6041666666666666,0.8541666666666666
answer,2,02,mean_within_fold_auc,gap,0.01041666666666663,-0.10416666666666663,0.125
answer,2,02,pooled_roc_auc,within,0.7322048611111112,0.6310763888888888,0.828125
answer,2,02,pooled_roc_auc,cross,0.7612847222222222,0.6497395833333334,0.8619791666666666
answer,2,02,pooled_roc_auc,gap,-0.02907986111111105,-0.10026041666666663,0.04731987847222208
answer,2,02,accuracy,within,0.6875,0.5833333333333334,0.7916666666666666
answer,2,02,accuracy,cross,0.6145833333333334,0.5520833333333334,0.6875
answer,2,02,accuracy,gap,0.07291666666666663,-0.04166666666666663,0.17708333333333337
answer,2,combined,mean_within_fold_auc,within,0.7604166666666666,0.6614583333333334,0.8489583333333334
answer,2,combined,mean_within_fold_auc,cross,0.796875,0.71875,0.8697916666666666
answer,2,combined,mean_within_fold_auc,gap,-0.03645833333333337,-0.125,0.046875
answer,2,combined,pooled_roc_auc,within,0.7547743055555556,0.6727430555555556,0.8311631944444444
answer,2,combined,pooled_roc_auc,cross,0.716796875,0.6629747178819445,0.7725694444444444
answer,2,combined,pooled_roc_auc,gap,0.03797743055555558,-0.026692708333333263,0.09798177083333326
answer,2,combined,accuracy,within,0.7083333333333334,0.6197916666666666,0.7916666666666666
answer,2,combined,accuracy,cross,0.5625,0.53125,0.5989583333333334
answer,2,combined,accuracy,gap,0.14583333333333337,0.05729166666666663,0.22916666666666674
answer,3,01,mean_within_fold_auc,within,0.75,0.625,0.8645833333333334
answer,3,01,mean_within_fold_auc,cross,0.78125,0.6770833333333334,0.875
answer,3,01,mean_within_fold_auc,gap,-0.03125,-0.17708333333333337,0.11458333333333326
answer,3,01,pooled_roc_auc,within,0.7708333333333334,0.6605902777777778,0.8693576388888888
answer,3,01,pooled_roc_auc,cross,0.7595486111111112,0.6749131944444444,0.8411458333333334
answer,3,01,pooled_roc_auc,gap,0.01128472222222221,-0.11545138888888884,0.13020833333333337
answer,3,01,accuracy,within,0.7291666666666666,0.6354166666666666,0.8229166666666666
answer,3,01,accuracy,cross,0.5,0.5,0.5
answer,3,01,accuracy,gap,0.22916666666666663,0.13541666666666663,0.32291666666666663
answer,3,02,mean_within_fold_auc,within,0.7604166666666666,0.6354166666666666,0.8645833333333334
answer,3,02,mean_within_fold_auc,cross,0.71875,0.5833333333333334,0.8333333333333334
answer,3,02,mean_within_fold_auc,gap,0.04166666666666663,-0.08333333333333337,0.16666666666666663
answer,3,02,pooled_roc_auc,within,0.7296006944444444,0.6302083333333334,0.8250868055555556
answer,3,02,pooled_roc_auc,cross,0.75,0.645822482638889,0.8420138888888888
answer,3,02,pooled_roc_auc,gap,-0.02039930555555558,-0.09548611111111116,0.06380208333333337
answer,3,02,accuracy,within,0.6979166666666666,0.59375,0.7916666666666666
answer,3,02,accuracy,cross,0.625,0.5520833333333334,0.6979166666666666
