condition,actor,pair_id,statement,repetition,happy_margin,sad_margin,happy_shift,sad_shift,pair_separation,delta_pair_separation,common_shift
zero_noop,03,pair_0009,01,02,-4.718820571899414,-4.377320289611816,0.0,0.0,-0.34150028228759766,0.0,0.0
zero_noop,03,pair_0010,02,01,-3.694944143295288,-3.3699402809143066,0.0,0.0,-0.32500386238098145,0.0,0.0
zero_noop,03,pair_0011,02,02,-3.5249128341674805,-3.3314507007598877,0.0,0.0,-0.19346213340759277,0.0,0.0
zero_noop,04,pair_0012,01,01,-4.602723121643066,-4.866759777069092,0.0,0.0,0.2640366554260254,0.0,0.0
zero_noop,04,pair_0013,01,02,-4.569589614868164,-4.604321002960205,0.0,0.0,0.034731388092041016,0.0,0.0
zero_noop,04,pair_0014,02,01,-3.6035590171813965,-3.5703775882720947,0.0,0.0,-0.03318142890930176,0.0,0.0
zero_noop,04,pair_0015,02,02,-3.3836679458618164,-3.808556318283081,0.0,0.0,0.42488837242126465,0.0,0.0
zero_noop,05,pair_0016,01,01,-4.557373046875,-4.196678638458252,0.0,0.0,-0.36069440841674805,0.0,0.0
zero_noop,05,pair_0017,01,02,-4.383161544799805,-4.5589680671691895,0.0,0.0,0.17580652236938477,0.0,0.0
zero_noop,05,pair_0018,02,01,-3.286710500717163,-3.481130361557007,0.0,0.0,0.19441986083984375,0.0,0.0
zero_noop,05,pair_0019,02,02,-3.4755494594573975,-3.2868447303771973,0.0,0.0,-0.1887047290802002,0.0,0.0
zero_noop,06,pair_0020,01,01,-4.214656829833984,-4.52412223815918,0.0,0.0,0.3094654083251953,0.0,0.0
zero_noop,06,pair_0021,01,02,-4.25598669052124,-4.614285469055176,0.0,0.0,0.35829877853393555,0.0,0.0
zero_noop,06,pair_0022,02,01,-3.6021475791931152,-3.4650402069091797,0.0,0.0,-0.13710737228393555,0.0,0.0
zero_noop,06,pair_0023,02,02,-3.457305908203125,-3.6551520824432373,0.0,0.0,0.1978461742401123,0.0,0.0
zero_noop,07,pair_0024,01,01,-4.384683609008789,-4.1672210693359375,0.0,0.0,-0.21746253967285156,0.0,0.0
zero_noop,07,pair_0025,01,02,-4.604063987731934,-4.696544170379639,0.0,0.0,0.09248018264770508,0.0,0.0
zero_noop,07,pair_0026,02,01,-3.7800509929656982,-3.630866765975952,0.0,0.0,-0.1491842269897461,0.0,0.0
zero_noop,07,pair_0027,02,02,-3.7800509929656982,-3.5695126056671143,0.0,0.0,-0.21053838729858398,0.0,0.0
zero_noop,08,pair_0028,01,01,-3.8731539249420166,-5.036435127258301,0.0,0.0,1.1632812023162842,0.0,0.0
zero_noop,08,pair_0029,01,02,-4.524965286254883,-4.290677070617676,0.0,0.0,-0.23428821563720703,0.0,0.0
