sample_id,pair_id,actor,statement,repetition,intensity,emotion,donor_sample_id,donor_sign,layer_index,clean_raw,patched_raw,delta_raw,clean_lens,patched_lens,delta_lens
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,4,-0.7559518814086914,-0.7559518814086914,0.0,2.020780563354492,2.020780563354492,0.0
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,5,-0.8743950128555298,-0.8743950128555298,0.0,1.505075454711914,1.505075454711914,0.0
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,6,-1.002828598022461,-1.002828598022461,0.0,0.8241679072380066,0.8241679072380066,0.0
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,7,-1.1831269264221191,-1.1831269264221191,0.0,0.15895724296569824,0.15895724296569824,0.0
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,8,-1.48291015625,-1.48291015625,0.0,-1.0612624883651733,-1.0612624883651733,0.0
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,9,-1.654343605041504,-1.654343605041504,0.0,-1.4965410232543945,-1.4965410232543945,0.0
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,10,-1.6126751899719238,-1.6126751899719238,0.0,-1.4913382530212402,-1.4913382530212402,0.0
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,11,-1.321522831916809,-1.321522831916809,0.0,-0.3695918321609497,-0.3695918321609497,0.0
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,12,-0.9600849151611328,-0.9600849151611328,0.0,1.048555850982666,1.048555850982666,0.0
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,13,-1.2286759614944458,-1.2286759614944458,0.0,0.26501548290252686,0.26501548290252686,0.0
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,14,-1.4276748895645142,-1.4276748895645142,0.0,-0.21016812324523926,-0.21016812324523926,0.0
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,15,-1.5541660785675049,-1.5541660785675049,0.0,-0.38649648427963257,-0.38649648427963257,0.0
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,16,-2.753335952758789,-2.753335952758789,0.0,-2.848630428314209,-2.848630428314209,0.0
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,17,-2.589276075363159,-2.589276075363159,0.0,-1.8145461082458496,-1.8145461082458496,0.0
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,18,-2.9427530765533447,-2.9518611431121826,-0.00910806655883789,-1.4242515563964844,-1.4367876052856445,-0.012536048889160156
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,19,-3.0570104122161865,-3.1043317317962646,-0.047321319580078125,-0.6257336139678955,-0.6852912902832031,-0.05955767631530762
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,20,-5.953578948974609,-6.08006477355957,-0.12648582458496094,-2.8461554050445557,-2.9849424362182617,-0.13878703117370605
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,21,-7.142115592956543,-7.389156341552734,-0.2470407485961914,-2.9896769523620605,-3.2311272621154785,-0.24145030975341797
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,22,-11.447354316711426,-11.65307903289795,-0.20572471618652344,-3.559112548828125,-3.684936046600342,-0.1258234977722168
