sample_id,pair_id,actor,statement,repetition,intensity,emotion,donor_sample_id,layer,clean_margin,patched_margin,donor_sign,patch_effect
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,12,-4.81397819519043,-4.813634395599365,1,0.0003437995910644531
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,13,-4.81397819519043,-4.783872127532959,1,0.030106067657470703
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,14,-4.81397819519043,-4.836077690124512,1,-0.02209949493408203
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,15,-4.81397819519043,-4.881350040435791,1,-0.06737184524536133
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,16,-4.81397819519043,-4.865268230438232,1,-0.051290035247802734
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,17,-4.81397819519043,-4.774052143096924,1,0.03992605209350586
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,18,-4.81397819519043,-4.76953649520874,1,0.04444169998168945
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,19,-4.81397819519043,-4.774464130401611,1,0.03951406478881836
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,20,-4.81397819519043,-4.749567985534668,1,0.06441020965576172
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,21,-4.81397819519043,-4.843190670013428,1,-0.029212474822998047
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,22,-4.81397819519043,-4.815702438354492,1,-0.0017242431640625
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,23,-4.81397819519043,-4.81397819519043,1,0.0
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,0,-3.534588098526001,-3.941761016845703,-1,0.40717291831970215
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,1,-3.534588098526001,-3.942473888397217,-1,0.4078857898712158
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,2,-3.534588098526001,-3.9328882694244385,-1,0.3983001708984375
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,3,-3.534588098526001,-3.9333314895629883,-1,0.3987433910369873
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,4,-3.534588098526001,-3.9351437091827393,-1,0.4005556106567383
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,5,-3.534588098526001,-3.935567855834961,-1,0.40097975730895996
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,6,-3.534588098526001,-3.9346399307250977,-1,0.4000518321990967
