sample_id,pair_id,actor,statement,repetition,intensity,emotion,condition,clean_margin,margin,shift_from_clean
pair_0013_sad,pair_0013,04,01,02,01,sad,zero_noop,-4.604321002960205,-4.604321002960205,0.0
pair_0013_sad,pair_0013,04,01,02,01,sad,center_joint,-4.604321002960205,-4.821258068084717,-0.21693706512451172
pair_0013_sad,pair_0013,04,01,02,01,sad,center_19,-4.604321002960205,-4.618642330169678,-0.014321327209472656
pair_0013_sad,pair_0013,04,01,02,01,sad,center_23,-4.604321002960205,-4.421632766723633,0.18268823623657227
pair_0014_happy,pair_0014,04,02,01,01,happy,clean,-3.6035590171813965,-3.6035590171813965,0.0
pair_0014_happy,pair_0014,04,02,01,01,happy,zero_noop,-3.6035590171813965,-3.6035590171813965,0.0
pair_0014_happy,pair_0014,04,02,01,01,happy,center_joint,-3.6035590171813965,-3.6892435550689697,-0.08568453788757324
pair_0014_happy,pair_0014,04,02,01,01,happy,center_19,-3.6035590171813965,-3.5913262367248535,0.012232780456542969
pair_0014_happy,pair_0014,04,02,01,01,happy,center_23,-3.6035590171813965,-3.8544280529022217,-0.2508690357208252
pair_0014_sad,pair_0014,04,02,01,01,sad,clean,-3.5703775882720947,-3.5703775882720947,0.0
pair_0014_sad,pair_0014,04,02,01,01,sad,zero_noop,-3.5703775882720947,-3.5703775882720947,0.0
pair_0014_sad,pair_0014,04,02,01,01,sad,center_joint,-3.5703775882720947,-3.6543235778808594,-0.08394598960876465
pair_0014_sad,pair_0014,04,02,01,01,sad,center_19,-3.5703775882720947,-3.5629920959472656,0.0073854923248291016
pair_0014_sad,pair_0014,04,02,01,01,sad,center_23,-3.5703775882720947,-3.8246054649353027,-0.254227876663208
pair_0015_happy,pair_0015,04,02,02,01,happy,clean,-3.3836679458618164,-3.3836679458618164,0.0
pair_0015_happy,pair_0015,04,02,02,01,happy,zero_noop,-3.3836679458618164,-3.3836679458618164,0.0
