actor,statement,layer,n_calibration,shift_norm,mean_norm
18,02,19,92,1.805440699088976,5.823397107652893
18,02,20,92,7.669545466810999,12.093452294296927
18,02,21,92,11.538711127924838,11.837143364246767
18,02,22,92,10.053704943274756,17.928918170053578
18,02,23,92,8.764639626950753,18.096607570445958
19,01,18,92,5.373227862996627,11.254069407743549
19,01,19,92,1.7992245545377605,5.885365230098449
19,01,20,92,7.636541595746767,17.80948634183697
19,01,21,92,11.449283597148638,21.456600184747302
19,01,22,92,9.946519435964264,12.25076771543994
19,01,23,92,8.670903523120352,5.635799292696801
19,02,18,92,5.373227862996627,12.922236866204928
19,02,19,92,1.7992245545377605,5.826226244833476
19,02,20,92,7.636541595746767,12.007287623977936
19,02,21,92,11.449283597148638,11.793485448220402
19,02,22,92,9.946519435964264,17.733042403666964
19,02,23,92,8.670903523120352,17.91568056102138
20,01,18,92,5.364085580991098,11.232018411157945
20,01,19,92,1.7952357654998095,5.88328355714162
20,01,20,92,7.666058525630015,17.85704333126883
20,01,21,92,11.481387675460487,21.538681145283398
