layer,state,statement,condition,metric,mean,ci_low,ci_high
3,out,02,within,pooled_roc_auc,0.7296006944444444,0.6302083333333334,0.8250868055555556
3,out,02,within,accuracy,0.6979166666666666,0.59375,0.7916666666666666
3,out,02,cross,mean_within_fold_auc,0.71875,0.5833333333333334,0.8333333333333334
3,out,02,cross,pooled_roc_auc,0.75,0.645822482638889,0.8420138888888888
3,out,02,cross,accuracy,0.625,0.5520833333333334,0.6979166666666666
3,out,02,gap,mean_within_fold_auc,0.04166666666666663,-0.08333333333333337,0.16666666666666663
3,out,02,gap,pooled_roc_auc,-0.02039930555555558,-0.09548611111111116,0.06380208333333337
3,out,02,gap,accuracy,0.07291666666666663,-0.03125,0.16666666666666674
3,out,combined,within,mean_within_fold_auc,0.7552083333333334,0.65625,0.84375
3,out,combined,within,pooled_roc_auc,0.751953125,0.6667751736111112,0.8295410156249999
3,out,combined,within,accuracy,0.7135416666666666,0.625,0.796875
3,out,combined,cross,mean_within_fold_auc,0.75,0.65625,0.8385416666666666
3,out,combined,cross,pooled_roc_auc,0.6876085069444444,0.6372585720486111,0.7362196180555556
3,out,combined,cross,accuracy,0.5625,0.5260416666666666,0.5989583333333334
3,out,combined,gap,mean_within_fold_auc,0.00520833333333337,-0.08854166666666663,0.08854166666666674
3,out,combined,gap,pooled_roc_auc,0.06434461805555558,-0.01302354600694437,0.13042805989583328
3,out,combined,gap,accuracy,0.15104166666666663,0.07291666666666663,0.22395833333333337
4,in,01,within,mean_within_fold_auc,0.75,0.625,0.8645833333333334
4,in,01,within,pooled_roc_auc,0.7708333333333334,0.6605902777777778,0.8693576388888888
4,in,01,within,accuracy,0.7291666666666666,0.6354166666666666,0.8229166666666666
4,in,01,cross,mean_within_fold_auc,0.78125,0.6770833333333334,0.875
4,in,01,cross,pooled_roc_auc,0.7595486111111112,0.6749131944444444,0.8411458333333334
4,in,01,cross,accuracy,0.5,0.5,0.5
4,in,01,gap,mean_within_fold_auc,-0.03125,-0.17708333333333337,0.11458333333333326
4,in,01,gap,pooled_roc_auc,0.01128472222222221,-0.11545138888888884,0.13020833333333337
4,in,01,gap,accuracy,0.22916666666666663,0.13541666666666663,0.32291666666666663
4,in,02,within,mean_within_fold_auc,0.7604166666666666,0.6354166666666666,0.8645833333333334
4,in,02,within,pooled_roc_auc,0.7296006944444444,0.6302083333333334,0.8250868055555556
4,in,02,within,accuracy,0.6979166666666666,0.59375,0.7916666666666666
4,in,02,cross,mean_within_fold_auc,0.71875,0.5833333333333334,0.8333333333333334
