layer,component,statement,condition,metric,mean,ci_low,ci_high
14,mlp,01,cross,mean_within_fold_auc,-0.16666666666666663,-0.26041666666666663,-0.07291666666666663
15,mlp,01,cross,mean_within_fold_auc,-0.03125,-0.11458333333333337,0.04166666666666663
16,mlp,01,cross,mean_within_fold_auc,0.02083333333333326,-0.0625,0.10416666666666663
17,mlp,01,cross,mean_within_fold_auc,0.04166666666666663,-0.03125,0.11458333333333337
18,mlp,01,cross,mean_within_fold_auc,-0.01041666666666663,-0.07291666666666674,0.0625
19,mlp,01,cross,mean_within_fold_auc,-0.02083333333333326,-0.09375,0.05208333333333337
20,mlp,01,cross,mean_within_fold_auc,0.02083333333333326,-0.05208333333333337,0.11458333333333337
21,mlp,01,cross,mean_within_fold_auc,0.01041666666666663,-0.07291666666666663,0.09375
22,mlp,01,cross,mean_within_fold_auc,0.0,-0.0625,0.052083333333333315
23,mlp,01,cross,mean_within_fold_auc,-0.010416666666666685,-0.04166666666666674,0.02083333333333337
0,attention,01,cross,pooled_roc_auc,0.41623263888888884,0.3546006944444444,0.46701388888888884
1,attention,01,cross,pooled_roc_auc,-0.07682291666666674,-0.16623263888888895,0.01171875
2,attention,01,cross,pooled_roc_auc,-0.04644097222222221,-0.14670138888888895,0.046875
3,attention,01,cross,pooled_roc_auc,-0.01475694444444453,-0.03125,-0.0026041666666666297
4,attention,01,cross,pooled_roc_auc,0.01388888888888884,-0.01085069444444442,0.04210069444444442
5,attention,01,cross,pooled_roc_auc,0.00824652777777779,-0.00390625,0.02300347222222221
6,attention,01,cross,pooled_roc_auc,-0.05989583333333326,-0.1440972222222222,0.03211805555555558
7,attention,01,cross,pooled_roc_auc,-0.05859375,-0.16970486111111105,0.04861111111111116
8,attention,01,cross,pooled_roc_auc,0.00434027777777779,-0.03732638888888895,0.04774305555555558
9,attention,01,cross,pooled_roc_auc,0.015190972222222321,-0.00998263888888895,0.04296875
10,attention,01,cross,pooled_roc_auc,-0.04079861111111116,-0.13802083333333337,0.05251736111111116
11,attention,01,cross,pooled_roc_auc,0.05078125,-0.02517361111111116,0.1284722222222222
12,attention,01,cross,pooled_roc_auc,0.01822916666666663,-0.03559027777777779,0.07335069444444442
13,attention,01,cross,pooled_roc_auc,-0.02951388888888884,-0.09852430555555547,0.03211805555555558
14,attention,01,cross,pooled_roc_auc,0.00477430555555558,-0.078125,0.08940972222222221
15,attention,01,cross,pooled_roc_auc,0.01649305555555558,-0.01215277777777779,0.05338541666666663
16,attention,01,cross,pooled_roc_auc,-0.03125,-0.09548611111111105,0.02777777777777779
17,attention,01,cross,pooled_roc_auc,-0.04079861111111105,-0.09809027777777779,0.01215277777777779
18,attention,01,cross,pooled_roc_auc,-0.00520833333333337,-0.04513888888888895,0.03298611111111105
19,attention,01,cross,pooled_roc_auc,-0.01432291666666663,-0.04383680555555558,0.01171875
20,attention,01,cross,pooled_roc_auc,-0.02387152777777779,-0.06163194444444442,0.010850694444444475
21,attention,01,cross,pooled_roc_auc,-0.01909722222222221,-0.06510416666666663,0.01996527777777779
22,attention,01,cross,pooled_roc_auc,-0.013888888888888895,-0.0720486111111111,0.04296875
23,attention,01,cross,pooled_roc_auc,0.00434027777777779,-0.028211805555555525,0.04080946180555545
0,mlp,01,cross,pooled_roc_auc,-0.00868055555555547,-0.05425347222222221,0.029958767361111024
1,mlp,01,cross,pooled_roc_auc,0.0056423611111111605,-0.01171875,0.02473958333333337
2,mlp,01,cross,pooled_roc_auc,-0.00737847222222221,-0.02604166666666663,0.00868055555555558
3,mlp,01,cross,pooled_roc_auc,-0.008246527777777679,-0.03168402777777768,0.00998263888888884
4,mlp,01,cross,pooled_roc_auc,-0.00390625,-0.02256944444444453,0.01302083333333337
5,mlp,01,cross,pooled_roc_auc,-0.0013020833333333703,-0.01996527777777779,0.015625
6,mlp,01,cross,pooled_roc_auc,-0.01432291666666674,-0.02864583333333326,0.0008680555555554692
7,mlp,01,cross,pooled_roc_auc,-0.00998263888888884,-0.04036458333333326,0.01605902777777779
